"","shannon","simpson"
"X9266_S125_profile",3.29717109458994,0.940486062461101
"X9247_S201_profile",3.13700252072847,0.926786154664049
"X9198_S200_profile",3.21668800435824,0.932387808218392
"X9151_S124_profile",3.11058169359354,0.9249202356347
"X9109_S65_profile",3.46670977134037,0.940350546963309
"X90_S111_profile",3.40941911739725,0.943257101906557
"X9087_S167_profile",3.22825623295427,0.932719149846001
"X906_S183_profile",3.51407037478116,0.945329139859591
"X903_S43_profile",3.39153715453291,0.940777999486588
"X8842_S199_profile",3.41005999270151,0.944303970096163
"X8829_S22_profile",2.9959442226591,0.91949627725601
"X8765_S198_profile",2.81252388251479,0.909301795932253
"X8634_S197_profile",3.3125949349314,0.937638663096516
"X8619_S123_profile",3.02666156993626,0.916544202566513
"X8608_S196_profile",3.49774449433146,0.944911063281943
"X8596_S21_profile",3.48363316768719,0.948526635172276
"X858_S3_profile",3.07532147011633,0.933538150466978
"X8559_S222_profile",3.03716849414631,0.919946542813286
"X8506_S94_profile",3.28950739259921,0.937194127501192
"X8503_S195_profile",2.97043670260335,0.925857019848589
"X8478_S166_profile",3.06760456953023,0.926040057331365
"X8446_S122_profile",3.54527159019058,0.946995636776789
"X8400_S194_profile",3.24208414583563,0.932145897243347
"X8298_S165_profile",3.06716530646575,0.921522264574562
"X8281_S20_profile",2.78253006993075,0.906557261753548
"X8212_S93_profile",3.39967311024517,0.940976547380884
"X8198_S164_profile",2.73663177417337,0.900166682563018
"X8127_S163_profile",3.50739109787995,0.945043813457817
"X8108_S121_profile",3.49829667475334,0.943888661911937
"X806_S42_profile",3.03942428509973,0.918012633271141
"X8002_S64_profile",2.92050525081787,0.913298461014314
"X7994_S63_profile",2.977740512884,0.922890118092189
"X7873_S62_profile",3.56738555561307,0.946302151318814
"X7862_S120_profile",3.64740249592178,0.950359916891981
"X763_S41_profile",3.47407251412645,0.94308297713118
"X7498_S19_profile",3.38836935581647,0.939190239968826
"X7409_S92_profile",3.28389815077495,0.937956161924351
"X737_S73_profile",2.99270907499256,0.920265880205789
"X7343_S193_profile",3.37240258421556,0.939752640598296
"X7322_S190_profile",3.46033621080639,0.944076152717859
"X7154_S61_profile",3.33580736058969,0.940291028718209
"X6929_S189_profile",3.34086197450776,0.934586522878072
"X677_S112_profile",2.78093012007948,0.907913452597406
"X6454_S188_profile",3.33525908571441,0.938380696978687
"X6428_S187_profile",3.43521374289304,0.943190138198563
"X6351_S91_profile",2.76003257248676,0.914152504349516
"X6316_S60_profile",3.10224166091513,0.925426772869953
"X6272_S186_profile",3.56925214035473,0.946762004735817
"X6216_S59_profile",3.546442971736,0.945565069700413
"X6118_S90_profile",3.59205031531348,0.949547678156594
"X6098_S89_profile",3.01939559555826,0.917676996307826
"X5941_S18_profile",3.39140140240599,0.941536762226035
"X5914_S17_profile",2.40463408625448,0.880568722923815
"X5893_S119_profile",3.0127757847991,0.926262537425969
"X5864_S88_profile",3.0992745864885,0.925794727343845
"X5725_S87_profile",3.45991888393989,0.942861238871879
"X567_S2_profile",3.45096232882829,0.942390223450375
"X564_S40_profile",3.08081555042141,0.924729945501023
"X5524_S58_profile",2.81096944459134,0.905827573359601
"X542_S39_profile",3.3357246273397,0.938017311521564
"X5346_S162_profile",3.7369707309922,0.95233001620343
"X5231_S57_profile",2.97978434831157,0.919952719121933
"X5212_S185_profile",3.25549233532033,0.932025421489244
"X5171_S221_profile",3.15400564302029,0.931584321475517
"X5148_S86_profile",3.28855004921476,0.940351669260063
"X5086_S85_profile",2.84232723881038,0.908956184804493
"X4970_S16_profile",3.1291902811454,0.927621073719865
"X4925_S161_profile",3.44542285022406,0.941773158690361
"X4850_S118_profile",3.04325719670821,0.926957939928218
"X4746_S15_profile",3.40086751138593,0.941821901614102
"X4624_S84_profile",3.45976809230642,0.944265893771432
"X4441_S56_profile",3.2812889908009,0.930265357537053
"X4279_S117_profile",3.04286180735632,0.926869391118608
"X3997_S160_profile",3.24118206135806,0.932934429985539
"X3923_S14_profile",3.04375281367209,0.918193965686655
"X390_S147_profile",3.43190153746621,0.938343213835434
"X3891_S13_profile",3.02841445909974,0.929135921907778
"X3873_S159_profile",3.15004566807629,0.931020551684136
"X3789_S12_profile",3.36759271849496,0.939047397653138
"X3714_S55_profile",3.35719812939264,0.936632698252492
"X3604_S11_profile",3.14845827317453,0.928079501077529
"X3545_S158_profile",3.21107249645465,0.934545659299526
"X3539_S83_profile",3.26616784953721,0.934521738283854
